tweet_id,timestamp,source_basic,text,name,dog_stage,retweet_count,favorite_count,dog_rating
892420643555336193,2017-08-01 16:23:56,IPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,6975.0,33697.0,1.3
892177421306343426,2017-08-01 00:17:27,IPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,5277.0,29230.0,1.3
891815181378084864,2017-07-31 00:18:03,IPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,3466.0,21975.0,1.2
891689557279858688,2017-07-30 15:58:51,IPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,7189.0,36779.0,1.3
891327558926688256,2017-07-29 16:00:24,IPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,7721.0,35160.0,1.2
891087950875897856,2017-07-29 00:08:17,IPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,,2586.0,17737.0,1.3
890971913173991426,2017-07-28 16:27:12,IPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,1649.0,10323.0,1.3
890729181411237888,2017-07-28 00:22:40,IPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,,15691.0,56637.0,1.3
890609185150312448,2017-07-27 16:25:51,IPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,3605.0,24430.0,1.3
890240255349198849,2017-07-26 15:59:51,IPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,6075.0,27845.0,1.4
890006608113172480,2017-07-26 00:31:25,IPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,6119.0,26951.0,1.3
889880896479866881,2017-07-25 16:11:53,IPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,,4142.0,24491.0,1.3
889665388333682689,2017-07-25 01:55:32,IPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,None,puppo,8308.0,41866.0,1.3
889638837579907072,2017-07-25 00:10:02,IPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,,3701.0,23572.0,1.2
889531135344209921,2017-07-24 17:02:04,IPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,puppo,1874.0,13306.0,1.3
889278841981685760,2017-07-24 00:19:32,IPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,,4426.0,22009.0,1.3
888917238123831296,2017-07-23 00:22:39,IPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,,3746.0,25517.0,1.2
888804989199671297,2017-07-22 16:56:37,IPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,,3517.0,22386.0,1.3
888554962724278272,2017-07-22 00:23:06,IPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,,2867.0,17251.0,1.3
